CPU_Cores,CPU_Load,Memory_Usage,Disk_IO,Network_Bandwidth,Compute1_Watts,Compute3_Watts
1,60,90,40,20,190,157
1,60,90,40,40,206,148
1,60,90,40,60,181,161
1,60,90,40,80,188,159
1,60,90,40,90,196,157
1,60,90,60,0,200,153
1,60,90,60,20,197,153
1,60,90,60,40,195,153
1,60,90,60,60,195,152
1,60,90,60,80,198,153
1,60,90,60,90,184,152
1,60,90,80,0,177,154
1,60,90,80,20,183,163
1,60,90,80,40,187,161
1,60,90,80,60,186,155
1,60,90,80,80,205,154
1,60,90,80,90,193,155
1,60,90,90,0,180,159
1,60,90,90,20,186,159
1,60,90,90,40,193,152
1,60,90,90,60,188,156
1,60,90,90,80,185,153
1,60,90,90,90,189,159
1,80,0,0,0,174,152
1,80,0,0,20,175,155
1,80,0,0,40,174,153
1,80,0,0,60,174,151
1,80,0,0,80,173,155
1,80,0,0,90,183,153
1,80,0,20,0,177,155
1,80,0,20,20,174,151
1,80,0,20,40,183,158
1,80,0,20,60,172,153
1,80,0,20,80,184,153
1,80,0,20,90,180,151
1,80,0,40,0,176,150
1,80,0,40,20,184,154
1,80,0,40,40,172,151
1,80,0,40,60,185,152
1,80,0,40,80,173,151
1,80,0,40,90,183,160
1,80,0,60,0,182,153
1,80,0,60,20,183,151
1,80,0,60,40,184,154
1,80,0,60,60,173,154
1,80,0,60,80,183,156
1,80,0,60,90,184,152
1,80,0,80,0,175,154
1,80,0,80,20,185,153
1,80,0,80,40,172,156
1,80,0,80,60,180,153
1,80,0,80,80,183,152
1,80,0,80,90,183,186
1,80,0,90,0,172,152
1,80,0,90,20,185,155
1,80,0,90,40,167,153
1,80,0,90,60,174,152
1,80,0,90,80,174,154
1,80,0,90,90,183,161
1,80,20,0,0,188,159
1,80,20,0,20,179,153
1,80,20,0,40,179,154
1,80,20,0,60,179,155
1,80,20,0,80,179,154
1,80,20,0,90,178,154
1,80,20,20,0,181,151
1,80,20,20,20,189,155
1,80,20,20,40,182,154
1,80,20,20,60,191,156
1,80,20,20,80,191,161
1,80,20,20,90,180,152
1,80,20,40,0,189,150
1,80,20,40,20,189,153
1,80,20,40,40,189,153
1,80,20,40,60,180,153
1,80,20,40,80,191,154
1,80,20,40,90,193,154
1,80,20,60,0,190,155
1,80,20,60,20,191,152
1,80,20,60,40,179,157
1,80,20,60,60,191,162
1,80,20,60,80,180,156
1,80,20,60,90,191,154
1,80,20,80,0,195,154
1,80,20,80,20,188,155
1,80,20,80,40,197,154
1,80,20,80,60,196,153
1,80,20,80,80,184,153
1,80,20,80,90,198,154
1,80,20,90,0,183,154
1,80,20,90,20,189,159
1,80,20,90,40,190,156
1,80,20,90,60,189,154
1,80,20,90,80,191,156
1,80,20,90,90,190,153
1,80,40,0,0,161,155
1,80,40,0,20,179,164
1,80,40,0,40,180,150
1,80,40,0,60,165,153
1,80,40,0,80,174,151
1,80,40,0,90,181,153
1,80,40,20,0,180,159
1,80,40,20,20,184,153
1,80,40,20,40,179,149
1,80,40,20,60,194,151
1,80,40,20,80,177,150
1,80,40,20,90,191,154
1,80,40,40,0,179,152
1,80,40,40,20,180,153
1,80,40,40,40,180,151
1,80,40,40,60,194,155
1,80,40,40,80,179,152
1,80,40,40,90,183,153
1,80,40,60,0,184,153
1,80,40,60,20,179,155
1,80,40,60,40,192,152
1,80,40,60,60,179,153
1,80,40,60,80,178,151
1,80,40,60,90,178,156
1,80,40,80,0,196,155
1,80,40,80,20,178,154
1,80,40,80,40,193,150
1,80,40,80,60,180,156
1,80,40,80,80,179,153
1,80,40,80,90,179,153
1,80,40,90,0,181,160
1,80,40,90,20,194,153
1,80,40,90,40,185,152
1,80,40,90,60,178,159
1,80,40,90,80,179,151
1,80,40,90,90,186,159
1,80,60,0,0,201,156
1,80,60,0,20,196,155
1,80,60,0,40,197,156
